"Top Level Organization","Opportunity Owner","Created By","Opportunity Name","Brand/Logo","Opportunity Record Type","Stage","? Estimated ACV","Expansion ACV Increase","?Opportunity Locations","Location Cohort","Created Date","Close Date","Age","Lead Source","Trade Show","Opportunity Notes","Loss Reason Notes","?Type of Contract","Count Balance","Count Base/Insights","Count Compass","Count Guard","Count Recover","Count Re-engage","Count TruROI","Count TruROI+","Count White Glove"
"Grube Inc - BWW","Charles Kagahastian","Spencer Epps","Grube Inc - BWW - Buffalo Wild Wings -","Buffalo Wild Wings","New Business","Demo","49800.00","","83","Ent","2/4/2026","3/6/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Heim BBQ","Chandler Zombek","Chandler Zombek","Heim BBQ - Heim BBQ - 3","Heim BBQ","New Business","New - Meeting Set","0.00","","","Unknown","2/4/2026","4/10/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Philz Coffee - 77","Alex Reyes","Alex Reyes","Philz Coffee - 77 - Philz Coffee - 77","Philz Coffee","New Business","New - Meeting Set","0.00","","","Unknown","2/4/2026","3/6/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Carpentersville Popeyes","Charles Kagahastian","Spencer Epps","Carpentersville Popeyes - Popeye's Louisiana Kitchen -","Popeye's Louisiana Kitchen","New Business","New - Meeting Set","4200.00","","7","SMB","2/4/2026","3/6/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Atticus Restaurant Group","Alex Reyes","Josue Sanchez","Atticus Restaurant Group - Sonic Drive in -","Sonic Drive in","New Business","Closed Lost","79800.00","","133","Ent","2/4/2026","3/6/2026","30.0000000000","SDR","","2/10/26: - Prospect: Linda Wiseley (Guernsey/Atticus Restaurant Group, Sonic franchisee; 133 stores; emails: linda.wiseley@sonicdrivein.com / linda.wiseley@mysonicgig.com). Uses Data Links for outsourced accounting. Uses Checkmate as aggregator (Inspire-affiliated).
- Current state: Just signed and about to launch Super Order for refund recovery and uptime alerts; month-to-month, very new/?not even turned on yet.? Internal ?Margin Improvement Manager? handles voids/ops audits.
- Interest: High interest in Loop?s reconciliation and marketing optimization; wants visibility into margins (4-wall EBITDA), automated POS/bank/ERP reconciliation, true marketing attribution, pricing guidance, store ranking/ops ?golden metrics,? and campaign simulation/push to DSPs. Requested references (Whataburger, Sonic peers) and NDA if needed.
- Differentiators discussed: Loop subscription (no rev share), higher recovery rates vs Super Order (example: 95% vs ~30%), uptime automation, full third-party reconciliation (bank + POS variances, taxes/royalties accuracy), margin awareness, automated JE/subledgers to ERP, marketing optimization with hyperlocal ranking and cannibalization detection.
- Next steps: Linda asked to reconnect in June 2026 after evaluating Super Order for a few months. Alex to send recap email and provide references. Potential for complimentary one-time data ingestion/analysis to quantify ROI prior to switch.
- Stakeholders: CFO (approval of scope with Super Order), Marketing (Chris), Accounting (Randy, Chris for manual adjustments). Corporate constraints: Inspire-led discounting; local marketing limited.","Just signed up with a competitor and took the call to learn about the platform. Wanted a call back in 90 days","Standard","0","0","0","0","0","0","0","0","0"
"Scott Brennan Bubbakoo's Burritos","Simon Salomon","Simon Salomon","Scott Brennan Bubbakoo's Burritos - Bubbakoo's Burritos -","Bubbakoo's Burritos","New Business","Closed Won","3600.00","","1","SMB","2/4/2026","2/4/2026","0.0000000000","Inbound","","1/28/26: - Prospect: Scott Brennan (single-unit Babacoo?s franchisee; ex-CFO Hand & Stone, scaled 100?600 units). Referred by Babacoo?s CEO Chris Ives and a GM friend (large Dunkin?/Dave?s franchisee using Loop).
- Current state: ~$820k AUV; ~48% of sales via 3P delivery (~$400k). Spending ~20% of 3P revenue (~$80k/yr) on marketplace marketing. Strong comps/top 3?4 in system but margin compression; uptime reportedly above benchmark.
- Needs/Pain: Reduce 3P CAC/spend while maintaining volume; optimize pricing/promos/ads; not a marketing expert; wary of macro ?arms race? if everyone adopts.
- Products discussed: Recover, Guard, Balance, and True ROI Plus (automated marketing). showed demo of marketing automation and planning.
- Pricing/Terms shared: $50/location/mo each for Recover, Guard, Balance; $150/mo for True ROI Plus; $750 one-time white-glove implementation (covers training; replaces $200 impl. per other product). Annual contract. Onboarding waitlist: earliest True ROI Plus start ~Mar 1; others ~2 weeks earlier. No billing until onboarding starts.
- Buyer intent: High. Requested deck and contract to review; wants to ?move fast.? Initially hesitant on Balance but ultimately asked to include it. Confirmed interest in Recover + Guard + Balance + True ROI Plus.
- Next steps: Send collateral and contract for 1 location with the four products; clarify onboarding timeline and admin access steps. Address concern about long-term competitiveness/?everyone using it? with data on differentiation and localized optimization. Potential to start Recover/Guard/Balance before True ROI Plus.","","Standard","1","1","0","1","1","1","1","1","1"
"Run Restaurants","Matt Bullock","Jimmy Schrepel","Run Restaurants - Hash House - 6","Hash House","New Business","Demo","4800.00","","8","SMB","2/4/2026","3/31/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Epic Burger","Matt Bullock","Jimmy Schrepel","Epic Burger - Epic Burger  - 9","Epic Burger","New Business","Demo","5400.00","","9","SMB","2/4/2026","3/31/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"WILDor Restaurant Group","Charles Kagahastian","Spencer Epps","WILDor Restaurant Group - Chuck Bright - Popeye's Louisiana Kitchen -","Popeye's Louisiana Kitchen","New Business","Demo","6600.00","","11","MM","2/4/2026","3/6/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Greek Squad LLC, Drums & Flats Inc, and Wingers, LLC","James Chavious","Tyrell Belle","Greek Squad LLC, Drums & Flats Inc, and Wingers, LLC - 20","Wingstop","New Business","Demo","12000.00","","20","MM","2/4/2026","3/6/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Zaxbys- Abdul Esreb","Jeff Lutz","Olivia Johnson","Zaxbys- Abdul Esreb - Zaxby's -","Zaxby's","New Business","No Show","600.00","","1","SMB","2/4/2026","3/6/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"G&S Family","Alexis Marrero","Brad Dressler","G&S Family - Culver's -","Culver's","New Business","Closed Won","8856.00","","2","SMB","2/4/2026","2/12/2026","8.0000000000","SDR","","2/12/26: Follow-up with Gerald (G&S Family ? Culver?s). Decision: proceed with All-In package ($369/location) for both locations. Requested a 60-day opt-out/change clause to reassess/downgrade if needed; Alexis to confirm with CRO and include in DocuSign. Next steps: send agreement, assign onboarding manager. Integration requirements: add Loop as users to DoorDash, Grubhub, Uber Eats; initiate POS integration; schedule training/preferences calls. Primary goals: chargebacks recovery; open to full suite incl. marketing; low concern for downtime; wants quick time-to-value across both locations. Owner: Alexis. Account: Culver Franchising System LLC.
2/5/26: - Prospect: Gerald Smith (owns 2 Culver?s units: Port St. Lucie & Viera, FL; AUV ? $4.2M; 10?15% sales via 3P delivery; ~200 orders/day now).
- Pain points: Chargebacks/disputes falling through the cracks (expects 80?90% are incorrect), limited bandwidth to dispute (Uber harder than DoorDash), occasional erroneous downtimes (drivers think closed after dining room locks), lack of response to 3P reviews, manual cash-in/cash-out bookkeeping with heavy reconciliation burden; wants automation into QuickBooks Desktop.
- Interest: Strong interest in Loop Essentials (chargeback recovery + downtime), Re-engage (reviews/AI responses), Marketing optimization, and especially Measure (3PD bookkeeping + financial insights). QB Desktop compatibility called out as important.
- Value props resonated: AI-led dispute prioritization with camera evidence, proactive downtime guard, weekly ops report, tailored margin-aware marketing, POS/bank/3P reconciliation, royalty/tax accuracy, FP&A Q&A.
- Pricing discussed: Packages from $99 to $369/location/mo; $200/location implementation; ability to recover last 30 days at go-live to offset fees. Prospect believes ROI would justify full suite.
- Next steps: Alexis to send recap, pricing deck, and SNL Culver?s reference data/benchmarks. Gerald to review DoorDash/Uber ratings, consult GMs, and evaluate. Follow-up meeting set for Feb 12 at 11:00 (owner: Alexis).
- Salesforce context: Account = Culver Franchising System LLC; Opp = G&S Family - Culver?s. Potential to start with full suite for both locations. Potential 5?10× ROI referenced (SNL example).","","Standard","1","0","0","1","1","1","0","1","0"
"Jefferson Fry Company","Matt Bullock","Vianny Gutierrez","Jefferson Fry Company","","New Business","No Show","3000.00","","5","SMB","2/4/2026","3/6/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Sarin Group","James Chavious","Josue Sanchez","Sarin Group - Subway - 25","Subway","New Business","New - Meeting Set","9000.00","","15","MM","2/4/2026","3/6/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"VenPaCa Cafe","Jeff Lutz","Jeff Lutz","VenPaCa Cafe - VenPaCa Cafe -","VenPaCa Cafe","New Business","No Show","0.00","","","Unknown","2/4/2026","3/6/2026","30.0000000000","Inbound","","","","Standard","0","0","0","0","0","0","0","0","0"
"Chris N Eddy?s","James Chavious","James Chavious","Chris N Eddy?s","Chris N Eddy?s","New Business","Closed Won","2388.00","","1","SMB","2/5/2026","2/5/2026","0.0000000000","Self Sourced","","","","Standard","0","0","0","0","1","0","0","1","0"
"Moto-i","Eric Azaren","Jeff Lutz","Moto-i - Moto-i  - 1","Moto-i","New Business","Demo","1788.00","","1","SMB","2/5/2026","3/31/2026","29.0000000000","Outbound","","Using toast 17% delivery - 600k Doing little to no marketing besides a bogo with a very inexpensive item like rice mentioned has done marketing in preparation of a big storm Outsourced CPA using quickbooks and speaks with him once a week- still thinks his CPA would be interested at looking at it. 
 Mentioned a friend of his who owns another restaurant who would be very interested in Loop / Balance","","Standard","0","0","0","0","0","0","0","0","0"
"Wild Thing Restaurant","Simon Salomon","Chandler Zombek","Wild Thing Restaurant -  -","","New Business","Demo","1800.00","","3","SMB","2/5/2026","3/7/2026","29.0000000000","SDR","","2/10/26: - Prospect: Wild Thing Restaurant (Tanner Johnson). Attendees: Simon, Chandler (internal), Tanner (external).
- Current state: 3 locations; AUVs ? $3M (Wild Thing) and $1.5?$1.85M (Elephant & Vine). Third-party mix varies by location (Uber vs DoorDash/Grubhub; college vs affluent areas). Uses Restaurant365; in-house accountant; minimal marketplace ads; marketing spend mainly via OpenTable.
- Metrics: Third-party ? 10?15% of sales (~$600k est.). Error rate last month 0.14%; downtime not an issue; chargebacks minimal. Negotiated lower marketplace commissions (Uber below 17%; DoorDash/Grubhub ~12%).
- Needs/Pain: Limited today; anticipates needs as they scale. Interested in deeper third-party P&L granularity vs current R365, automation of mapping/push, and visibility by platform/location/fees. Less interest in Recover/Guard given strong metrics; light interest in marketing tied to marketplace ranking only.
- Solution fit: Strongest for Balance (automated bookkeeping, order-level ingestion, R365 integration, margin analysis). Recover/Guard lower priority but acknowledged potential hidden value; marketing not priority now.
- Pricing discussed: $50/location/month per module (Balance/Guard/Recover), $150 if all three; $200/location one-time implementation; marketing priced separately (not pursued).
- Next steps: Tanner to review internally with management; follow-up 30?min meeting proposed for next Wednesday (post?Valentine?s week). Simon to send recap, pricing, and tentative hold.
- Risks: Low immediate pain; could defer purchase. Champion is open but needs team buy-in.","","Standard","0","0","0","0","0","0","0","0","0"
"Jams Bites","Sarra Herlich","Brad Dressler","Jams Bites - McDonald's -","McDonald's","New Business","New - Meeting Set","1800.00","","3","SMB","2/5/2026","3/7/2026","29.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"The Rose Group","Charles Kagahastian","Spencer Epps","The Rose Group - Applebee's Grill & Bar -","Applebee's Grill & Bar","New Business","New - Meeting Set","0.00","","","Unknown","2/5/2026","3/7/2026","29.0000000000","SDR","","","","Standard","0","0","0","1","1","0","0","0","0"
"The Rose Group","Charles Kagahastian","Spencer Epps","The Rose Group - Qdoba Mexican Eats -","Qdoba Mexican Eats","New Business","New - Meeting Set","0.00","","","Unknown","2/5/2026","3/7/2026","29.0000000000","SDR","","","","Standard","0","0","0","1","1","0","0","0","0"
"Guapo's","Simon Salomon","Chandler Zombek","Guapo's - Guapo's -","Guapo's","New Business","Demo","17880.00","","10","MM","2/5/2026","3/7/2026","29.0000000000","SDR","","2/13/26: - Prospect: Guapo?s (10 locations incl. Herndon, Bethesda, DC). Attendees: Pablo Musalem (decision maker), Nancy A (AP/accounting). Owners/4 GMs to be looped in. 
- Current state: ~10% of sales via 3PD. Low error rate (~0.66% vs ~3% avg). DoorDash shows no recent deactivations in 3 checked stores; driver wait time ~6 min (needs improvement; target","","Standard","0","0","0","0","0","0","0","0","0"
"Burgers of BMT","Sarra Herlich","Sarra Herlich","Burgers of BMT - Whataburger -","Whataburger","New Business","New - Meeting Set","7176.00","","2","SMB","2/5/2026","3/7/2026","29.0000000000","Self Sourced","","","","Standard","1","1","0","1","1","1","1","1","1"
"Burgers of BMT","Sarra Herlich","Sarra Herlich","Burgers of BMT - Whataburger -","Whataburger","New Business","New - Meeting Set","14400.00","","8","SMB","2/5/2026","3/7/2026","29.0000000000","Self Sourced","","","","Standard","1","1","0","1","1","1","0","0","0"
"Pita Pita","James Chavious","Tyrell Belle","Pita Pita - Pita Pita - 10","Pita Pita","New Business","Closed Lost","6000.00","","10","MM","2/5/2026","3/7/2026","30.0000000000","SDR","","2/9/26: Prospect: Pita Pita Mediterranean Grill (10 locations; mix of corporate and franchise). Contact: Jade Sheng (Marketing). Goal: Reduce third?party delivery dependency, improve ROAS and payout margins, accurate attribution to the dollar, and cut cannibalization/double dipping. Current state: 40?50% sales via UberEats/DoorDash with heavy promos; margins thin; each location controls ad spend ($20?$30+/day on sponsored listings). Corporate collects 1% of franchise sales for marketing. Website SEO/first?party funnel currently weak; plan to patch separately.
Pain points: Fragmented data, opaque marketplace reporting (promos/adjustments), manual analysis burden, blanket spending by TPAs, cannibalization, and double dipping. Success criteria: Maintain or grow sales while spending less on third?party ads; clear cohorting (net new vs lapsed vs existing), hyperlocal optimization, and real attribution.
Loop value prop delivered: Third?party profitability + marketing optimization platform; pulls 400+ days of marketplace data, normalizes promos/adjustments, forecasts scenarios by store objective (sales, margin, payout), hyperlocal campaigns, real?time tracking. Security: SOC 2 + ISO; NDA requested.
Next steps:
- James to send NDA to Jade; upon execution, provide read?only access to DoorDash/Uber for flagship locations for complimentary Headroom Analysis (ETA ~5 business days after access).
- Schedule 45?min product demo: confirmed for Tue 2/10 at 10:00 AM CT (11:00 AM ET).
- James to send YouTube customer testimonial and access instructions.
Decision path: Jade ? CEO ? franchise owners; needs concrete case studies with before/after metrics and projected impact without increasing spend. Potential land?and?expand via flagship pilot. Owner sensitivity: must show immediate savings or same sales with reduced spend.","extremely unreasonable pricing & term ask from prospect","Standard","0","0","0","0","0","0","0","0","0"
"Jersey Mikes- Richard Comer","Olivia Johnson","Olivia Johnson","Jersey Mikes- Richard Comer - Jersey Mike's Subs -","Jersey Mike's Subs","New Business","New - Meeting Set","600.00","","1","SMB","2/6/2026","3/8/2026","28.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"CTI Restaurant","Simon Salomon","Josue Sanchez","CTI Restaurant - Taco Bell -","Taco Bell","New Business","Demo","14256.00","","12","MM","2/6/2026","3/8/2026","28.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"The Michaels Group","Alexis Marrero","Brad Dressler","The Michaels Group - Culver's -","Culver's","New Business","No Show","3000.00","","5","SMB","2/6/2026","3/8/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Fuwa Fuwa Japanese Pancakes","Simon Salomon","Josue Sanchez","Fuwa Fuwa Japanese Pancakes - Fuwa Fuwa Japanese Pancakes -","Fuwa Fuwa Japanese Pancakes","New Business","Closed Lost","9000.00","","15","MM","2/6/2026","3/8/2026","30.0000000000","SDR","","2/12/26: - Prospect: Fuwa Fuwa Japanese Pancakes (US only), 15 franchise locations; no corporate-owned stores. Canada/UK managed separately and out of scope.
- Primary contact: Sylvia (Accounting/ops). External advisor/partner Jim involved in testing ?True ROI? marketing at 2 locations (NYC, Chicago) with ~$250/mo budget incl. sub + ad spend; franchisees must individually opt-in for marketing budgets.
- Need: Balance/bookkeeping integration for 3P delivery into POS and Restaurant365 for real-time, transparent financials across locations. Not pursuing marketing/True ROI rollout at this time.
- Pricing discussed: $50/location/month for bookkeeping product; one-time onboarding fee typically $200/location capped at $3,000. Sylvia requested discount/waiver of onboarding; open to sharing target number after receiving quote.
- Next steps: Send formal quote with current pricing; Sylvia to revert with budget/target fee. Simon to seek internal approval for discounted onboarding after Sylvia provides number. Timeline: ASAP upon agreement. Owner: Sales Ops.
2/10/26: - Prospect: Fuwa Fuwa Japanese Pancakes (franchisor), evaluating Loop for third?party delivery. Primary contact: Sylvia (accounting/finance, franchise operations). Nicholas (franchisor team) set meeting; Jim Biddix (advisor, Dayside/Dave?s Hot Chicken) is running Loop marketing tests on 2 US locations via his team.
- Interest/Pain: Centralized, accurate third?party bookkeeping/reconciliation (?Balance?) across US and Canada locations; needs net payout per location after promos/fees, franchisee royalty calc, and accounting system push. Has full marketplace access (DoorDash, Uber, etc.). Aware SkipTheDishes supported for reconciliation only.
- Other products: Recover (chargeback disputes) and Guard (uptime) not priority now due to low order volume; may revisit post?marketing scale. Marketing (True ROI/True ROI+) currently being tested separately.
- Value props discussed: 3?way match (POS/marketplaces/bank), order?level source of truth, marketplace facilitator tax handling, royalty tab, automated GL mapping/push (via Plaid).
- Pricing: Monthly per location; product mix ranges ~$50?$300. Sylvia asked about ~$60/location; Simon to confirm internal pricing for Balance.
- Next steps: Simon to confirm pricing/details and reconvene Thu at 1:00 pm (tentative; Sylvia open to adjust). Decision authority for bookkeeping sits with Sylvia; timeline ASAP to start accounting piece.","Almost no 3PD at the moment. They love what we do but are planning on reaching back out in a few months once this grows enough","Standard","0","0","0","0","0","0","0","0","0"
"Papa Johns- Steve Murphy","James Chavious","Olivia Johnson","Papa Johns- Steve Murphy - Papa Johns Pizza -","Papa Johns Pizza","New Business","Disqualified","5400.00","","9","SMB","2/6/2026","3/8/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Border Foods","Devyn Schwartzberg","Nick Barbo","Border Foods - Taco Bell - 250","Taco Bell","New Business","No Show","150000.00","","250","Ent","2/6/2026","3/8/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"JM Chapel Hill","James Chavious","Danny Park","JM Chapel Hill - 18","","New Business","Business Case","21384.00","","18","MM","2/6/2026","3/8/2026","28.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"QSR Executive Enterprises, Inc.","Sarra Herlich","Brad Dressler","QSR Executive Enterprises, Inc. - McDonald's -","McDonald's","New Business","Demo","13200.00","","22","MM","2/6/2026","3/8/2026","28.0000000000","SDR","","3/2/26: Headroom analysis review with QSR Executive (McDonald?s) using DoorDash last 90 days. Current vendor for chargebacks: Delegate; Otter also evaluated previously. Loop findings:
- Chargebacks: ~$350/location/month disputable on DD; Delegate recovering ~$130; Loop projects $225?$230 (incl. missed/canceled + driver wait time disputes). Total lost last quarter ?$23K across 22 stores.
- Downtime: Currently 0.96% (good but improvable). Loop balance config could add ~$109/location/month; conservative ~$55. Top root causes: store requested closure (47%), POS/QSR Soft (24%), high driver wait time (18%).
- Marketing: Many locations not on first page for DD; 95 campaigns flagged for cannibalization; organic traffic declines despite higher spend. Loop can manage per-location plans; TODC currently used; BU/national also in play.
Commercials: Loop is flat monthly per location (not %). Packages: $99?$349/location/mo (+$100 one-time/loc), 12?month term. Concern: flat fee less attractive for low?delivery stores (e.g., New London, Milan). Contract flexibility: can align start with Delegate end (June 27) or remove Delegate access earlier to avoid double-pay; Loop open to discuss marketing-only flexibility if BU-wide TODC deal materializes (not guaranteed).
Access: Only DD data; UE is ~12% of mix; can add if moving forward.
Timing: Decision targeted in March due to 90?day notice for Delegate. Next call targeted Wed 11:30 ET; Sarra to send deck. Potential competitive: TODC pushing BU-wide deal; Otter/Delegate % of recovered. Buyer contacts: Stephanie DiDonato (+ Joe).
2/9/26: - Account: QSR Executive Enterprises, Inc. (22 stores; 23rd opening in July). AUV ? $3.4M. Digital ? 35% total; 3PO last month $636k (January, +$146k MoM). 
- Current tools: Delegate (chargebacks/downtime) under contract through 6/27; 90?day notice needed (they?ve already informed Delegate). Evaluating Otter. TODC runs 3PO marketing for 22 (paying for 16). CPA: Volpay & Brown; accounting system: RMS. 
- Pain points with Delegate: degraded support post-ParTech merger; perceived bias believing driver ?excuses?; 30?min lag to re-enable stores; poor comms; incident where they ?threatened? the team. 
- Loop value props discussed: 
 - Recover: Full chargeback + missed/canceled disputes (incl. phone/email workflows others miss), CCTV integration to boost Uber win rates. 
 - Guard: Proactive 15?min checks; reason-based auto?restore; SMS alerts; driver wait-time tracking + disputes (reduce commission brackets). 
 - Marketing: Visibility ranking by radius; avoid cannibalization; incrementality tracking; True ROI Plus AI plan generator; monthly ?State of the Union? with leaderboard and diagnostics. 
 - Balance: End?to?end 3PO reconciliation, journal entries, 3?way sync (3PO/QSR Soft/bank), CSV to RMS; income statement view incl. unfulfilled sales, taxes, commissions, marketing, refunds ? true net margin. 
 - Review response automation (re?engage). 
- Pricing shared: Suite at $349/store/mo (flat; no % of refunds). Lower?tier options available (as low as $99) for low?volume stores; can mix tiers (e.g., chargebacks/guard/reviews without marketing gen or without reconciliation). Annual term, billed monthly. 
- Competitive landscape: They like TODC?s flexibility for low?volume stores. Sarra cited operators (e.g., Stephen Ball / Alpha) who moved from TODC to Loop. 
- Next steps: Loop to run a no?impact analysis (data access via added user emails) for disputes, downtime, rankings/marketing effectiveness (incl. TODC impact). Compare with Otter?s analysis. 
- Timing: Target decision by end of month. Follow?up set for Tue 2/24 at same time. Ensure 90?day notice timing aligns with 6/27 contract end. 
- Stakeholders: Joe Mulheren (primary), Stephanie DiDonato (ops/digital lead, detailed metrics), Brian Doak looped, Jason Payne referenced.","","Standard","0","0","0","0","0","0","0","0","0"
"Beans & Brews","James Chavious","James Chavious","Beans & Brews","","New Business","Demo","95040.00","","80","Ent","2/9/2026","2/28/2026","25.0000000000","Self Sourced","","","","Standard","0","0","0","0","0","0","0","0","0"
"sof hospitality","Simon Salomon","Chandler Zombek","sof hospitality -  -","","New Business","Demo","1788.00","","1","SMB","2/9/2026","3/11/2026","25.0000000000","SDR","","2/18/26: - Prospect: Mebero (Director of Operations) overseeing 3 fine dining + 1 fast casual. Fast casual does ~$4.5M/yr; ~10% ($450k) via 3rd-party delivery (DoorDash/Uber Eats integrated through Toast POS; no tablets).
- Current process: Third-party runs on autopilot. Managers review chargebacks weekly; no clear visibility into chargeback/error rate. No ad spend on marketplaces.
- Pain/risks: Limited visibility into chargebacks and downtime. Belief that much of 3P is ?out of our control.? No active optimization.
- Proposed solution: Loop Recover + Guard modules ($100/location/month). Value: automate disputes with measured approach, provide ops insights (error drivers by item/shift), proactive uptime monitoring/reactivation, trend analytics. Estimated ROI if industry-average 3% error: ~$13k leakage on $450k GMV.
- Next steps: Mebero wants GM for the fast casual location on the next call. Mebero will coordinate timing (prefers later this week if possible). Simon to send follow-up email with times and instructions to self-check downtime/error rates in DD/UE. No access granted yet.
- Decision drivers: Quantified recovery potential, minimal lift (add 3 user emails), ability to prove downtime/chargeback impact. Potential land-and-expand from fast casual to fine dining if results.","","Standard","0","0","0","0","0","0","0","0","0"
"McDonald's - 5","James Chavious","James Chavious","McDonald's - 5 - McDonald's -","McDonald's","New Business","New - Meeting Set","0.00","","","Unknown","2/9/2026","3/25/2026","25.0000000000","Self Sourced","","","","Standard","0","0","0","0","0","0","0","0","0"
"McDonalds - 6","James Chavious","James Chavious","McDonalds - 6 - McDonald's -","McDonald's","New Business","New - Meeting Set","0.00","","","Unknown","2/9/2026","3/24/2026","25.0000000000","Self Sourced","","","","Standard","0","0","0","0","0","0","0","0","0"
"Penelope's Coffee and Tea","Alexis Marrero","Danny Park","Penelope's Coffee and Tea - 4","Penelope's Coffee and Tea","New Business","Demo","16716.00","","7","SMB","2/9/2026","3/11/2026","25.0000000000","SDR","","2/10/26: - Prospect: George (Penelope?s Coffee & Tea). 7 corporate-owned Penelope?s locations on delivery + 5 Nick the Greek franchise locations (12 total). Delivery is ~15?20% of sales; some Penelope?s stores >$1M AUV; Nick the Greek Uber Eats volume very high (one store ~$800?900k on Uber). 
- Pain points: Third-party marketing needs to be tailored per store; clarity on true delivery profitability (fees, co-funding, promo fees), reconciliation issues (past incident: DoorDash payouts sent to wrong bank for 8 months), chargebacks and missed/canceled order recovery, downtime/driver wait time visibility, review responses automation. 
- Interest: Loop ops + marketing stack. Strong interest in chargeback/missed-cancel disputes, downtime protection, AI marketing (with co-funding), reconciliation/financials, review replies. Uses EasyCater too. Cameras are not cloud-based currently (integration possible if changed). 
- Budget/Pricing discussed: Packages $99 (ops), $149 (ops + reviews), $199 (adds bookkeeping), $299 (adds AI marketing). $200 one-time/loc implementation. Annual contract. Discounts start at 50+ locations. Asked about multi-brand/group pricing and Nick the Greek special pricing. 
- Key follow-ups (owner: Alexis): 
 1) Confirm Nick the Greek special pricing/timelines with corporate and any pre-negotiated discounts. 
 2) Confirm Uber Eats co-funding workflow: can Loop auto-initiate co-funded campaigns or must reps manually set per store; is there a bulk/automated method for reps. 
 3) Send recording + recap email with package/pricing, capabilities, and how co-funding is modeled in AI. 
- Next steps: Send recap and recording EOD; schedule 15-min sync same time next week (per George?s request; two partners out this week). Potential land with Penelope?s first; Nick the Greek may need to wait for corporate due to national campaigns. Potential expansion via George?s broader network if successful.","","Standard","0","0","0","0","0","0","0","0","0"
"Marcos Pizza- Todd Fairbanks","James Chavious","Olivia Johnson","Marcos Pizza- Todd Fairbanks - Marco's Pizza -","Marco's Pizza","New Business","New - Meeting Set","0.00","","","Unknown","2/9/2026","3/11/2026","25.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"MEM Enterprises","Simon Salomon","Josue Sanchez","MEM Enterprises - Taco Bell -","Taco Bell","New Business","Demo","44700.00","","25","MM","2/9/2026","3/11/2026","25.0000000000","SDR","","2/17/26: - Prospect: MEM Enterprises ? Taco Bell franchisee (25 Taco Bells; additional 3 airport concepts not in scope). Primary contact: Tyler Madden (Controller). Decision makers to loop in: CEO Cindy/Sindy Wilson and Operations Director Jermaine. Salesforce owner: Nathan Meyer.
- Current state: No structured 3P delivery reconciliation or dispute process; weekly cash vs sales true-up, variances booked to ?delivery service fees.? No chargeback recovery. DoorDash error rate 4.4% (goal 1%), downtime 1.5% (goal","","Standard","0","0","0","0","0","0","0","0","0"
"Pizza Pizza","Alex Reyes","Tyrell Belle","Pizza Pizza - 653","","New Business","Demo","300000.00","","500","Ent","2/18/2026","5/27/2026","16.0000000000","SDR","","2/23/26: Discovery with Pizza Pizza (franchise system, ~500 locations). Stakeholders: Chris Lee and Alen Eany. Interest driven by lack of visibility/?black box? in third?party delivery (DoorDash/Uber/Skip). Key areas discussed:
- Refund dispute automation: currently handled by franchisees; not centralized. Potential opportunity but not flagged as systemic issue.
- Downtime monitoring/auto-reopen: marketplaces may turn stores off due to performance; concern about brand impact if turning on underperforming stores.
- Reconciliation: Finance team manages statements; complexity with promos and payout statements noted. Potential variances likely; Alen suspects issues at scale but lacks specifics.
- Marketing optimization: High interest in modular, location-level ad/promo optimization to avoid blanket spend; modular approach confirmed. New margin analysis tool could help with 4?wall EBITDA on 3P.
Next steps: Alex to send recap deck and franchise case studies. Chris/Alen to run internal intake across Finance and Marketing to surface pain points before deeper engagement. Pricing: subscription per location; no rev-share on recovered refunds. Opportunity fit: strong for reconciliation and marketing optimization; proceed when internal feedback identifies concrete pain points.","","Standard","0","0","0","0","0","0","0","0","0"
